,sex,whole_weight,rings
0,M,0.514,15
1,M,0.2255,7
2,F,0.677,9
3,M,0.516,10
4,I,0.205,7
5,I,0.3515,8
6,F,0.7775,20
7,F,0.768,16
8,M,0.5095,9
9,F,0.8945,19
10,F,0.6065,14
11,M,0.406,10
12,M,0.5415,11
13,F,0.6845,10
14,F,0.4755,10
15,M,0.6645,12
16,I,0.2905,7
17,F,0.451,10
18,M,0.2555,7
19,M,0.381,9
20,M,0.2455,11
21,I,0.2255,10
22,F,0.9395,12
23,F,0.7635,9
24,F,1.1615,10
25,F,0.9285,11
26,F,0.9955,11
27,M,0.931,12
28,M,0.9365,15
29,M,0.8635,11
30,M,0.9975,10
31,F,1.639,15
32,M,1.338,18
33,F,1.798,19
34,F,1.7095,13
35,M,0.4795,8
36,F,1.217,16
37,F,0.5225,8
38,F,0.883,11
39,M,0.3275,9
40,F,0.425,9
41,F,0.8515,14
42,I,0.07,5
43,I,0.042,5
44,I,0.042,4
45,I,0.203,7
46,M,0.5795,9
47,F,0.4605,7
48,I,0.161,6
49,F,0.8355,9
50,I,0.595,8
51,M,0.303,7
52,M,0.5415,10
53,F,0.4775,10
54,M,0.385,7
55,F,0.6615,8
56,M,0.4425,8
57,M,0.5895,8
58,I,0.086,4
59,F,0.583,7
60,M,0.4115,7
61,M,0.625,9
62,F,0.6965,10
63,M,0.3785,7
64,M,0.58,8
65,M,0.48,8
66,F,0.915,12
67,F,1.285,13
68,F,0.5305,10
69,I,0.151,6
70,M,0.7665,13
71,F,0.353,8
72,F,1.247,20
73,M,1.185,11
74,F,1.098,13
75,F,1.0075,15
76,M,0.944,9
77,F,0.922,10
78,F,0.788,11
79,F,1.1025,14
80,F,0.941,9
81,M,1.615,12
82,F,0.9885,16
83,M,1.3175,21
84,M,1.013,14
85,F,1.295,12
86,M,1.195,13
87,M,0.8645,10
88,F,0.517,9
89,F,0.9775,12
90,M,0.8115,15
91,M,0.755,12
92,M,1.115,13
93,F,1.262,10
94,M,1.494,15
95,M,1.606,14
96,M,0.725,9
97,M,0.523,8
98,M,0.5225,7
99,F,0.5785,10
100,I,0.2315,7
101,M,0.843,15
102,M,0.883,15
103,M,0.724,10
104,M,1.1735,12
105,F,0.727,12
106,F,0.802,11
107,F,0.6675,10
108,F,0.6335,9
109,F,0.3635,9
110,M,0.5415,9
111,M,0.431,9
112,I,0.3325,9
113,M,0.393,9
114,F,0.6935,11
115,F,0.5915,11
116,F,0.6125,11
117,M,0.402,10
118,F,0.8825,9
119,M,0.2605,8
120,F,0.4205,9
121,I,0.2535,7
122,F,0.766,14
123,M,0.214,6
124,I,0.1755,6
125,I,0.073,5
126,I,0.238,6
127,I,0.2505,8
128,M,1.7255,19
129,M,1.959,18
130,M,1.262,17
131,F,0.4035,9
132,F,0.1915,7
